Id;Name;Duration;CalcPrio;LastRun;LastResults;Verdict;Cycle
1;1;2.317;0;2020-01-13 00:00:11;[];0;1
400;400;2.533;0;2020-01-13 00:00:11;[];0;1
401;401;4.367;0;2020-01-13 00:00:11;[];0;1
402;402;1.1;0;2020-01-13 00:00:11;[];0;1
403;403;0.5;0;2020-01-13 00:00:11;[];0;1
404;404;0.117;0;2020-01-13 00:00:11;[];0;1
405;405;3.683;0;2020-01-13 00:00:11;[];0;1
399;399;4.517;0;2020-01-13 00:00:11;[];0;1
406;406;7.933;0;2020-01-13 00:00:11;[];0;1
408;408;1439.333;0;2020-01-13 00:00:11;[];0;1
409;409;3.033;0;2020-01-13 00:00:11;[];0;1
410;410;1438.4;0;2020-01-13 00:00:11;[];0;1
411;411;1439.333;0;2020-01-13 00:00:11;[];0;1
412;412;1.367;0;2020-01-13 00:00:11;[];0;1
413;413;1.783;0;2020-01-13 00:00:11;[];0;1
407;407;3.517;0;2020-01-13 00:00:11;[];0;1
398;398;3.2;0;2020-01-13 00:00:11;[];0;1
397;397;3.983;0;2020-01-13 00:00:11;[];0;1
396;396;0.183;0;2020-01-13 00:00:11;[];0;1
381;381;4.917;0;2020-01-13 00:00:11;[];0;1
382;382;12.517;0;2020-01-13 00:00:11;[];0;1
383;383;1438.0;0;2020-01-13 00:00:11;[];0;1
384;384;1438.0;0;2020-01-13 00:00:11;[];0;1
385;385;1438.0;0;2020-01-13 00:00:11;[];0;1
386;386;2.417;0;2020-01-13 00:00:11;[];0;1
387;387;5.4;0;2020-01-13 00:00:11;[];0;1
388;388;5.517;0;2020-01-13 00:00:11;[];0;1
389;389;4.517;0;2020-01-13 00:00:11;[];0;1
390;390;3.417;0;2020-01-13 00:00:11;[];0;1
391;391;3.783;0;2020-01-13 00:00:11;[];0;1
392;392;1.183;0;2020-01-13 00:00:11;[];0;1
393;393;4.867;0;2020-01-13 00:00:11;[];0;1
394;394;1.467;0;2020-01-13 00:00:11;[];0;1
395;395;1.733;0;2020-01-13 00:00:11;[];0;1
414;414;0.833;0;2020-01-13 00:00:11;[];0;1
415;415;2.4;0;2020-01-13 00:00:11;[];0;1
416;416;3.417;0;2020-01-13 00:00:11;[];0;1
417;417;1439.383;0;2020-01-13 00:00:11;[];0;1
437;437;1439.517;0;2020-01-13 00:00:11;[];0;1
438;438;1439.067;0;2020-01-13 00:00:11;[];0;1
439;439;1439.567;0;2020-01-13 00:00:11;[];0;1
440;440;0.367;0;2020-01-13 00:00:11;[];0;1
441;441;1.983;0;2020-01-13 00:00:11;[];0;1
442;442;1439.5;0;2020-01-13 00:00:11;[];0;1
443;443;1439.817;0;2020-01-13 00:00:11;[];0;1
444;444;1439.383;0;2020-01-13 00:00:11;[];0;1
445;445;1439.183;0;2020-01-13 00:00:11;[];0;1
446;446;1439.75;0;2020-01-13 00:00:11;[];0;1
447;447;1439.3;0;2020-01-13 00:00:11;[];0;1
448;448;1439.4;0;2020-01-13 00:00:11;[];0;1
449;449;1439.267;0;2020-01-13 00:00:11;[];0;1
450;450;2.567;0;2020-01-13 00:00:11;[];0;1
451;451;1.633;0;2020-01-13 00:00:11;[];0;1
436;436;1439.5;0;2020-01-13 00:00:11;[];0;1
380;380;1439.783;0;2020-01-13 00:00:11;[];0;1
435;435;1439.617;0;2020-01-13 00:00:11;[];0;1
433;433;0.183;0;2020-01-13 00:00:11;[];0;1
418;418;1439.967;0;2020-01-13 00:00:11;[];0;1
419;419;1439.817;0;2020-01-13 00:00:11;[];0;1
420;420;0.417;0;2020-01-13 00:00:11;[];0;1
